ID_Barang,Nama_Spesifikasi,Kategori,Jumlah,Satuan,Kondisi,Lokasi,Terakhir_Update,Catatan
COMP-022,Fan 5x5 12V,Pendingin,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-023,Elco 50V 2200uF,Kapasitor,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-024,Dioda Sisir,Semikonduktor,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-025,Transistor TIP 2955,Semikonduktor,2,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-026,Transistor SJON 045R / 5J0N045R,Semikonduktor,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-027,Heat Sink,Pendingin,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-028,IC L7805CV,Semikonduktor,2,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-029,Soket AC 3 Lubang,Konektor,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-030,IC 7812CT,Semikonduktor,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-031,Resistor 100K,Resistor,21,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-032,Resistor 5K,Resistor,21,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-033,Resistor 470 Ohm,Resistor,21,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-034,Resistor 3.3K,Resistor,10,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-035,Resistor 500 Ohm,Resistor,21,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-036,Resistor 100 Ohm,Resistor,21,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-037,Resistor 4.2K / 4K2,Resistor,21,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-038,Resistor 680K,Resistor,21,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-039,Resistor 300K,Resistor,21,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-040,Resistor 680 Ohm,Resistor,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-041,Resistor 270 Ohm,Actuators,21,pcs,Normal,Drawer A-1,2026-07-11,-
COMP-042,Resistor 6.8K,Resistor,21,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-043,Resistor 100 Ohm,Resistor,12,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-044,Resistor 100K,Resistor,21,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-045,Resistor 150 Ohm,Resistor,21,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-046,Resistor 3K,Resistor,21,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-047,Resistor 10K,Resistor,21,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-048,Resistor 200 Ohm,Resistor,21,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-049,Resistor 30K,Resistor,21,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-050,Resistor 20K,Resistor,21,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-051,Resistor 4 Ohm,Resistor,21,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-052,Resistor 47 Ohm,Resistor,21,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-053,Resistor 68 Ohm,Resistor,21,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-054,Resistor 1K,Actuators,5,pcs,Good,Box 03,2026-07-11,-
COMP-055,Resistor 470 Ohm,Resistor,21,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-056,Resistor 330 Ohm,Resistor,21,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-057,Resistor 10 Ohm,Resistor,21,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-058,Resistor 1.7K,Resistor,21,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-059,Buzzer,Komponen Audio,1,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-060,Kapasitor Milar 100V 105J,Kapasitor,2,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-061,Kapasitor Milar 630V 104J,Kapasitor,2,pcs,Normal,Laci / Box Bening,2026-07-11,
COMP-062,Kapasitor Milar 1250V 333J,Kapasitor,1,pcs,Normal,Laci / Box Bening,2026-07-11,
